Home Team,Away Team,Winner,Home Win
Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,True
Boston Red Sox,Minnesota Twins,Boston Red Sox,True
Miami Marlins,Athletics,Miami Marlins,True
Atlanta Braves,Los Angeles Dodgers,Los Angeles Dodgers,False
Chicago White Sox,Houston Astros,Houston Astros,False
Texas Rangers,Seattle Mariners,Texas Rangers,True
Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,True
St. Louis Cardinals,New York Mets,St. Louis Cardinals,True
Los Angeles Angels,Detroit Tigers,Detroit Tigers,False
San Francisco Giants,Colorado Rockies,San Francisco Giants,True
New York Yankees,Tampa Bay Rays,Tampa Bay Rays,False
Chicago White Sox,Houston Astros,Houston Astros,False
Toronto Blue Jays,Cleveland Guardians,Cleveland Guardians,False
Pittsburgh Pirates,San Diego Padres,San Diego Padres,False
San Francisco Giants,Colorado Rockies,Colorado Rockies,False
Boston Red Sox,Minnesota Twins,Boston Red Sox,True
Miami Marlins,Athletics,Athletics,False
Philadelphia Phillies,Arizona Diamondbacks,Philadelphia Phillies,True
Cincinnati Reds,Washington Nationals,Washington Nationals,False
Texas Rangers,Seattle Mariners,Seattle Mariners,False
Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,True
Baltimore Orioles,Kansas City Royals,Baltimore Orioles,True
Atlanta Braves,Los Angeles Dodgers,Los Angeles Dodgers,False
Los Angeles Angels,Detroit Tigers,Los Angeles Angels,True
St. Louis Cardinals,New York Mets,St. Louis Cardinals,True
St. Louis Cardinals,New York Mets,New York Mets,False
St. Louis Cardinals,New York Mets,St. Louis Cardinals,True
Baltimore Orioles,Kansas City Royals,Kansas City Royals,False
Pittsburgh Pirates,San Diego Padres,Pittsburgh Pirates,True
Boston Red Sox,Minnesota Twins,Boston Red Sox,True
New York Yankees,Tampa Bay Rays,New York Yankees,True
Toronto Blue Jays,Cleveland Guardians,Toronto Blue Jays,True
Miami Marlins,Athletics,Miami Marlins,True
Philadelphia Phillies,Arizona Diamondbacks,Arizona Diamondbacks,False
Chicago White Sox,Houston Astros,Houston Astros,False
Milwaukee Brewers,Chicago Cubs,Milwaukee Brewers,True
Texas Rangers,Seattle Mariners,Seattle Mariners,False
San Francisco Giants,Colorado Rockies,San Francisco Giants,True
Los Angeles Angels,Detroit Tigers,Detroit Tigers,False
Cincinnati Reds,Washington Nationals,Cincinnati Reds,True
Atlanta Braves,Los Angeles Dodgers,Atlanta Braves,True
Miami Marlins,Los Angeles Dodgers,Miami Marlins,True
New York Yankees,San Diego Padres,New York Yankees,True
Atlanta Braves,Cincinnati Reds,Cincinnati Reds,False
Chicago Cubs,San Francisco Giants,San Francisco Giants,False
Kansas City Royals,Chicago White Sox,Kansas City Royals,True
Milwaukee Brewers,Houston Astros,Milwaukee Brewers,True
St. Louis Cardinals,Pittsburgh Pirates,St. Louis Cardinals,True
Arizona Diamondbacks,New York Mets,New York Mets,False
Athletics,Seattle Mariners,Seattle Mariners,False
Washington Nationals,Cleveland Guardians,Cleveland Guardians,False
Washington Nationals,Cleveland Guardians,Washington Nationals,True
Washington Nationals,Cleveland Guardians,Cleveland Guardians,False
Miami Marlins,Los Angeles Dodgers,Miami Marlins,True
Boston Red Sox,Texas Rangers,Boston Red Sox,True
Tampa Bay Rays,Philadelphia Phillies,Tampa Bay Rays,True
New York Yankees,San Diego Padres,San Diego Padres,False
Atlanta Braves,Cincinnati Reds,Cincinnati Reds,False
Chicago Cubs,San Francisco Giants,San Francisco Giants,False
Minnesota Twins,Baltimore Orioles,Minnesota Twins,True
Kansas City Royals,Chicago White Sox,Kansas City Royals,True
Milwaukee Brewers,Houston Astros,Milwaukee Brewers,True
St. Louis Cardinals,Pittsburgh Pirates,Pittsburgh Pirates,False
Los Angeles Angels,Toronto Blue Jays,Toronto Blue Jays,False
Arizona Diamondbacks,New York Mets,Arizona Diamondbacks,True
Athletics,Seattle Mariners,Athletics,True
Colorado Rockies,Detroit Tigers,Detroit Tigers,False
Washington Nationals,Cleveland Guardians,Washington Nationals,True
Milwaukee Brewers,Houston Astros,Houston Astros,False
St. Louis Cardinals,Pittsburgh Pirates,St. Louis Cardinals,True
Chicago Cubs,San Francisco Giants,Chicago Cubs,True
Athletics,Seattle Mariners,Athletics,True
Arizona Diamondbacks,New York Mets,New York Mets,False
Miami Marlins,Los Angeles Dodgers,Miami Marlins,True
Boston Red Sox,Texas Rangers,Boston Red Sox,True
Tampa Bay Rays,Philadelphia Phillies,Philadelphia Phillies,False
New York Yankees,San Diego Padres,New York Yankees,True
Atlanta Braves,Cincinnati Reds,Atlanta Braves,True
Minnesota Twins,Baltimore Orioles,Minnesota Twins,True
Kansas City Royals,Chicago White Sox,Kansas City Royals,True
Colorado Rockies,Detroit Tigers,Detroit Tigers,False
Los Angeles Angels,Toronto Blue Jays,Toronto Blue Jays,False
Minnesota Twins,Baltimore Orioles,Baltimore Orioles,False
Boston Red Sox,Texas Rangers,Boston Red Sox,True
Kansas City Royals,Chicago White Sox,Kansas City Royals,True
Colorado Rockies,Detroit Tigers,Detroit Tigers,False
Colorado Rockies,Detroit Tigers,Detroit Tigers,False
Tampa Bay Rays,Philadelphia Phillies,Philadelphia Phillies,False
Atlanta Braves,Cincinnati Reds,Atlanta Braves,True
Los Angeles Angels,Toronto Blue Jays,Toronto Blue Jays,False
Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers,False
Detroit Tigers,Texas Rangers,Detroit Tigers,True
Pittsburgh Pirates,Atlanta Braves,Atlanta Braves,False
Washington Nationals,St. Louis Cardinals,Washington Nationals,True
Tampa Bay Rays,Milwaukee Brewers,Tampa Bay Rays,True
New York Mets,Chicago Cubs,New York Mets,True
Cleveland Guardians,Philadelphia Phillies,Philadelphia Phillies,False
Kansas City Royals,Boston Red Sox,Kansas City Royals,True
Chicago White Sox,Miami Marlins,Miami Marlins,False
Houston Astros,Cincinnati Reds,Houston Astros,True
Minnesota Twins,San Francisco Giants,Minnesota Twins,True
Colorado Rockies,San Diego Padres,San Diego Padres,False
Los Angeles Angels,Baltimore Orioles,Los Angeles Angels,True
Arizona Diamondbacks,Los Angeles Dodgers,Los Angeles Dodgers,False
Seattle Mariners,Toronto Blue Jays,Seattle Mariners,True
Athletics,New York Yankees,New York Yankees,False
Washington Nationals,St. Louis Cardinals,St. Louis Cardinals,False
Pittsburgh Pirates,Atlanta Braves,Pittsburgh Pirates,True
Athletics,New York Yankees,New York Yankees,False
Tampa Bay Rays,Milwaukee Brewers,Tampa Bay Rays,True
Detroit Tigers,Texas Rangers,Texas Rangers,False
Cleveland Guardians,Philadelphia Phillies,Philadelphia Phillies,False
Houston Astros,Cincinnati Reds,Cincinnati Reds,False
Kansas City Royals,Boston Red Sox,Boston Red Sox,False
Chicago White Sox,Miami Marlins,Chicago White Sox,True
New York Mets,Chicago Cubs,New York Mets,True
Minnesota Twins,San Francisco Giants,San Francisco Giants,False
Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,True
Colorado Rockies,San Diego Padres,San Diego Padres,False
Los Angeles Angels,Baltimore Orioles,Los Angeles Angels,True
Seattle Mariners,Toronto Blue Jays,Seattle Mariners,True
New York Mets,Chicago Cubs,New York Mets,True
Washington Nationals,St. Louis Cardinals,Washington Nationals,True
Pittsburgh Pirates,Atlanta Braves,Atlanta Braves,False
Detroit Tigers,Texas Rangers,Texas Rangers,False
Tampa Bay Rays,Milwaukee Brewers,Tampa Bay Rays,True
Houston Astros,Cincinnati Reds,Houston Astros,True
Kansas City Royals,Boston Red Sox,Boston Red Sox,False
Minnesota Twins,San Francisco Giants,San Francisco Giants,False
Chicago White Sox,Miami Marlins,Chicago White Sox,True
Colorado Rockies,San Diego Padres,Colorado Rockies,True
Athletics,New York Yankees,New York Yankees,False
Los Angeles Angels,Baltimore Orioles,Los Angeles Angels,True
Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,True
Seattle Mariners,Toronto Blue Jays,Seattle Mariners,True
Cleveland Guardians,Philadelphia Phillies,Cleveland Guardians,True
Cleveland Guardians,Milwaukee Brewers,Cleveland Guardians,True
Detroit Tigers,Boston Red Sox,Boston Red Sox,False
Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,True
New York Mets,Pittsburgh Pirates,New York Mets,True
Atlanta Braves,Washington Nationals,Atlanta Braves,True
Chicago Cubs,Miami Marlins,Chicago Cubs,True
Texas Rangers,Colorado Rockies,Texas Rangers,True
Houston Astros,Kansas City Royals,Houston Astros,True
San Diego Padres,Los Angeles Angels,San Diego Padres,True
Seattle Mariners,New York Yankees,Seattle Mariners,True
San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,True
Cleveland Guardians,Milwaukee Brewers,Milwaukee Brewers,False
Detroit Tigers,Boston Red Sox,Detroit Tigers,True
Cincinnati Reds,Chicago White Sox,Cincinnati Reds,True
Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays,False
New York Mets,Pittsburgh Pirates,New York Mets,True
Atlanta Braves,Washington Nationals,Atlanta Braves,True
Chicago Cubs,Miami Marlins,Miami Marlins,False
Texas Rangers,Colorado Rockies,Texas Rangers,True
Houston Astros,Kansas City Royals,Kansas City Royals,False
San Diego Padres,Los Angeles Angels,San Diego Padres,True
Seattle Mariners,New York Yankees,Seattle Mariners,True
San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,True
Los Angeles Dodgers,Athletics,Athletics,False
Baltimore Orioles,Minnesota Twins,Baltimore Orioles,True
Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,True
Baltimore Orioles,Minnesota Twins,Baltimore Orioles,True
Baltimore Orioles,Minnesota Twins,Baltimore Orioles,True
Philadelphia Phillies,St. Louis Cardinals,St. Louis Cardinals,False
Philadelphia Phillies,St. Louis Cardinals,St. Louis Cardinals,False
Cleveland Guardians,Milwaukee Brewers,Cleveland Guardians,True
San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,True
Seattle Mariners,New York Yankees,New York Yankees,False
Detroit Tigers,Boston Red Sox,Detroit Tigers,True
Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays,False
New York Mets,Pittsburgh Pirates,New York Mets,True
Cincinnati Reds,Chicago White Sox,Chicago White Sox,False
Atlanta Braves,Washington Nationals,Washington Nationals,False
Chicago Cubs,Miami Marlins,Chicago Cubs,True
Texas Rangers,Colorado Rockies,Texas Rangers,True
Houston Astros,Kansas City Royals,Houston Astros,True
San Diego Padres,Los Angeles Angels,Los Angeles Angels,False
Los Angeles Dodgers,Athletics,Athletics,False
Atlanta Braves,Washington Nationals,Atlanta Braves,True
Baltimore Orioles,Minnesota Twins,Minnesota Twins,False
Cincinnati Reds,Chicago White Sox,Chicago White Sox,False
Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,True
Texas Rangers,Houston Astros,Texas Rangers,True
Los Angeles Dodgers,Athletics,Los Angeles Dodgers,True
Chicago Cubs,Chicago White Sox,Chicago Cubs,True
Cincinnati Reds,Cleveland Guardians,Cincinnati Reds,True
Philadelphia Phillies,Pittsburgh Pirates,Philadelphia Phillies,True
Baltimore Orioles,Washington Nationals,Baltimore Orioles,True
New York Yankees,New York Mets,New York Yankees,True
Toronto Blue Jays,Detroit Tigers,Detroit Tigers,False
Boston Red Sox,Atlanta Braves,Atlanta Braves,False
Miami Marlins,Tampa Bay Rays,Miami Marlins,True
Kansas City Royals,St. Louis Cardinals,St. Louis Cardinals,False
Texas Rangers,Houston Astros,Houston Astros,False
Milwaukee Brewers,Minnesota Twins,Milwaukee Brewers,True
Arizona Diamondbacks,Colorado Rockies,Colorado Rockies,False
San Diego Padres,Seattle Mariners,San Diego Padres,True
Los Angeles Dodgers,Los Angeles Angels,Los Angeles Dodgers,True
San Francisco Giants,Athletics,San Francisco Giants,True
New York Yankees,New York Mets,New York Mets,False
Chicago Cubs,Chicago White Sox,Chicago Cubs,True
Toronto Blue Jays,Detroit Tigers,Toronto Blue Jays,True
Baltimore Orioles,Washington Nationals,Washington Nationals,False
Miami Marlins,Tampa Bay Rays,Miami Marlins,True
Philadelphia Phillies,Pittsburgh Pirates,Philadelphia Phillies,True
Cincinnati Reds,Cleveland Guardians,Cincinnati Reds,True
Texas Rangers,Houston Astros,Texas Rangers,True
Kansas City Royals,St. Louis Cardinals,Kansas City Royals,True
Boston Red Sox,Atlanta Braves,Boston Red Sox,True
Milwaukee Brewers,Minnesota Twins,Milwaukee Brewers,True
Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,True
San Diego Padres,Seattle Mariners,San Diego Padres,True
San Francisco Giants,Athletics,Athletics,False
Los Angeles Dodgers,Los Angeles Angels,Los Angeles Angels,False
Texas Rangers,Houston Astros,Texas Rangers,True
Baltimore Orioles,Washington Nationals,Washington Nationals,False
Philadelphia Phillies,Pittsburgh Pirates,Pittsburgh Pirates,False
Boston Red Sox,Atlanta Braves,Atlanta Braves,False
Toronto Blue Jays,Detroit Tigers,Toronto Blue Jays,True
Cincinnati Reds,Cleveland Guardians,Cleveland Guardians,False
Miami Marlins,Tampa Bay Rays,Miami Marlins,True
Kansas City Royals,St. Louis Cardinals,St. Louis Cardinals,False
Milwaukee Brewers,Minnesota Twins,Milwaukee Brewers,True
Chicago Cubs,Chicago White Sox,Chicago Cubs,True
San Francisco Giants,Athletics,Athletics,False
Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,True
Los Angeles Dodgers,Los Angeles Angels,Los Angeles Dodgers,True
San Diego Padres,Seattle Mariners,San Diego Padres,True
New York Yankees,New York Mets,New York Yankees,True
Pittsburgh Pirates,Cincinnati Reds,Cincinnati Reds,False
Miami Marlins,Chicago Cubs,Miami Marlins,True
Boston Red Sox,New York Mets,New York Mets,False
Tampa Bay Rays,Houston Astros,Tampa Bay Rays,True
Minnesota Twins,Cleveland Guardians,Minnesota Twins,True
Chicago White Sox,Seattle Mariners,Chicago White Sox,True
Milwaukee Brewers,Baltimore Orioles,Milwaukee Brewers,True
St. Louis Cardinals,Detroit Tigers,Detroit Tigers,False
Colorado Rockies,Philadelphia Phillies,Philadelphia Phillies,False
San Francisco Giants,Kansas City Royals,San Francisco Giants,True
Athletics,Los Angeles Angels,Los Angeles Angels,False
Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,True
Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,True
Miami Marlins,Chicago Cubs,Chicago Cubs,False
Boston Red Sox,New York Mets,New York Mets,False
Washington Nationals,Atlanta Braves,Washington Nationals,True
Tampa Bay Rays,Houston Astros,Tampa Bay Rays,True
New York Yankees,Texas Rangers,Texas Rangers,False
Toronto Blue Jays,San Diego Padres,Toronto Blue Jays,True
Chicago White Sox,Seattle Mariners,Seattle Mariners,False
Milwaukee Brewers,Baltimore Orioles,Milwaukee Brewers,True
St. Louis Cardinals,Detroit Tigers,Detroit Tigers,False
Colorado Rockies,Philadelphia Phillies,Philadelphia Phillies,False
San Francisco Giants,Kansas City Royals,San Francisco Giants,True
Athletics,Los Angeles Angels,Los Angeles Angels,False
Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,True
Minnesota Twins,Cleveland Guardians,Minnesota Twins,True
Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,True
Tampa Bay Rays,Houston Astros,Houston Astros,False
Minnesota Twins,Cleveland Guardians,Cleveland Guardians,False
Miami Marlins,Chicago Cubs,Miami Marlins,True
Milwaukee Brewers,Baltimore Orioles,Milwaukee Brewers,True
St. Louis Cardinals,Detroit Tigers,Detroit Tigers,False
Chicago White Sox,Seattle Mariners,Seattle Mariners,False
San Francisco Giants,Kansas City Royals,Kansas City Royals,False
Minnesota Twins,Cleveland Guardians,Minnesota Twins,True
Boston Red Sox,New York Mets,Boston Red Sox,True
New York Yankees,Texas Rangers,Texas Rangers,False
Toronto Blue Jays,San Diego Padres,San Diego Padres,False
Colorado Rockies,Philadelphia Phillies,Philadelphia Phillies,False
Athletics,Los Angeles Angels,Athletics,True
Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,True
Washington Nationals,Atlanta Braves,Washington Nationals,True
New York Yankees,Texas Rangers,New York Yankees,True
Toronto Blue Jays,San Diego Padres,Toronto Blue Jays,True
Colorado Rockies,Philadelphia Phillies,Philadelphia Phillies,False
Athletics,Los Angeles Angels,Los Angeles Angels,False
Detroit Tigers,Cleveland Guardians,Detroit Tigers,True
Pittsburgh Pirates,Milwaukee Brewers,Milwaukee Brewers,False
Washington Nationals,Atlanta Braves,Washington Nationals,True
Houston Astros,Seattle Mariners,Houston Astros,True
Boston Red Sox,Baltimore Orioles,Baltimore Orioles,False
Boston Red Sox,Baltimore Orioles,Boston Red Sox,True
Cincinnati Reds,Chicago Cubs,Cincinnati Reds,True
Pittsburgh Pirates,Milwaukee Brewers,Milwaukee Brewers,False
Washington Nationals,San Francisco Giants,San Francisco Giants,False
Tampa Bay Rays,Toronto Blue Jays,Toronto Blue Jays,False
Detroit Tigers,Cleveland Guardians,Detroit Tigers,True
New York Mets,Los Angeles Dodgers,Los Angeles Dodgers,False
Atlanta Braves,San Diego Padres,San Diego Padres,False
Chicago White Sox,Texas Rangers,Texas Rangers,False
Houston Astros,Seattle Mariners,Seattle Mariners,False
Minnesota Twins,Kansas City Royals,Minnesota Twins,True
St. Louis Cardinals,Arizona Diamondbacks,Arizona Diamondbacks,False
Colorado Rockies,New York Yankees,New York Yankees,False
Los Angeles Angels,Miami Marlins,Los Angeles Angels,True
Athletics,Philadelphia Phillies,Athletics,True
Boston Red Sox,Baltimore Orioles,Boston Red Sox,True
Boston Red Sox,Baltimore Orioles,Boston Red Sox,True
Boston Red Sox,Baltimore Orioles,Boston Red Sox,True
Minnesota Twins,Kansas City Royals,Minnesota Twins,True
St. Louis Cardinals,Arizona Diamondbacks,St. Louis Cardinals,True
Washington Nationals,San Francisco Giants,Washington Nationals,True
Pittsburgh Pirates,Milwaukee Brewers,Milwaukee Brewers,False
Cincinnati Reds,Chicago Cubs,Chicago Cubs,False
Houston Astros,Seattle Mariners,Houston Astros,True
Atlanta Braves,San Diego Padres,Atlanta Braves,True
Chicago White Sox,Texas Rangers,Texas Rangers,False
Colorado Rockies,New York Yankees,Colorado Rockies,True
Tampa Bay Rays,Toronto Blue Jays,Toronto Blue Jays,False
Detroit Tigers,Cleveland Guardians,Detroit Tigers,True
New York Mets,Los Angeles Dodgers,New York Mets,True
Athletics,Philadelphia Phillies,Philadelphia Phillies,False
Los Angeles Angels,Miami Marlins,Los Angeles Angels,True
Detroit Tigers,Cleveland Guardians,Detroit Tigers,True
Boston Red Sox,Baltimore Orioles,Boston Red Sox,True
Washington Nationals,San Francisco Giants,San Francisco Giants,False
Pittsburgh Pirates,Milwaukee Brewers,Milwaukee Brewers,False
Cincinnati Reds,Chicago Cubs,Chicago Cubs,False
Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays,True
Houston Astros,Seattle Mariners,Seattle Mariners,False
Minnesota Twins,Kansas City Royals,Minnesota Twins,True
Chicago White Sox,Texas Rangers,Texas Rangers,False
St. Louis Cardinals,Arizona Diamondbacks,St. Louis Cardinals,True
Colorado Rockies,New York Yankees,New York Yankees,False
Athletics,Philadelphia Phillies,Athletics,True
Los Angeles Angels,Miami Marlins,Los Angeles Angels,True
Atlanta Braves,San Diego Padres,San Diego Padres,False
New York Mets,Los Angeles Dodgers,New York Mets,True
Detroit Tigers,San Francisco Giants,Detroit Tigers,True
Milwaukee Brewers,Boston Red Sox,Milwaukee Brewers,True
Chicago Cubs,Colorado Rockies,Chicago Cubs,True
Baltimore Orioles,St. Louis Cardinals,St. Louis Cardinals,False
Texas Rangers,Toronto Blue Jays,Toronto Blue Jays,False
Kansas City Royals,Cincinnati Reds,Kansas City Royals,True
New York Mets,Chicago White Sox,New York Mets,True
Cleveland Guardians,Los Angeles Dodgers,Los Angeles Dodgers,False
Tampa Bay Rays,Minnesota Twins,Tampa Bay Rays,True
Arizona Diamondbacks,Pittsburgh Pirates,Arizona Diamondbacks,True
San Diego Padres,Miami Marlins,Miami Marlins,False
Los Angeles Angels,New York Yankees,Los Angeles Angels,True
Cleveland Guardians,Los Angeles Dodgers,Cleveland Guardians,True
Baltimore Orioles,St. Louis Cardinals,Baltimore Orioles,True
Detroit Tigers,San Francisco Giants,Detroit Tigers,True
Philadelphia Phillies,Atlanta Braves,Atlanta Braves,False
Tampa Bay Rays,Minnesota Twins,Tampa Bay Rays,True
New York Mets,Chicago White Sox,Chicago White Sox,False
Kansas City Royals,Cincinnati Reds,Cincinnati Reds,False
Milwaukee Brewers,Boston Red Sox,Milwaukee Brewers,True
Chicago Cubs,Colorado Rockies,Colorado Rockies,False
Texas Rangers,Toronto Blue Jays,Toronto Blue Jays,False
Houston Astros,Athletics,Houston Astros,True
Los Angeles Angels,New York Yankees,New York Yankees,False
Arizona Diamondbacks,Pittsburgh Pirates,Arizona Diamondbacks,True
Seattle Mariners,Washington Nationals,Seattle Mariners,True
San Diego Padres,Miami Marlins,San Diego Padres,True
Cleveland Guardians,Los Angeles Dodgers,Los Angeles Dodgers,False
Detroit Tigers,San Francisco Giants,Detroit Tigers,True
Tampa Bay Rays,Minnesota Twins,Minnesota Twins,False
New York Mets,Chicago White Sox,New York Mets,True
Milwaukee Brewers,Boston Red Sox,Milwaukee Brewers,True
Houston Astros,Athletics,Houston Astros,True
Arizona Diamondbacks,Pittsburgh Pirates,Arizona Diamondbacks,True
San Diego Padres,Miami Marlins,San Diego Padres,True
Baltimore Orioles,St. Louis Cardinals,Baltimore Orioles,True
Kansas City Royals,Cincinnati Reds,Kansas City Royals,True
Chicago Cubs,Colorado Rockies,Chicago Cubs,True
Texas Rangers,Toronto Blue Jays,Texas Rangers,True
Los Angeles Angels,New York Yankees,Los Angeles Angels,True
Seattle Mariners,Washington Nationals,Seattle Mariners,True
Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,True
Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,True
Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies,True
Toronto Blue Jays,Athletics,Toronto Blue Jays,True
Houston Astros,Tampa Bay Rays,Houston Astros,True
Seattle Mariners,Washington Nationals,Washington Nationals,False
Chicago Cubs,Cincinnati Reds,Chicago Cubs,True
Baltimore Orioles,Chicago White Sox,Baltimore Orioles,True
Philadelphia Phillies,Milwaukee Brewers,Philadelphia Phillies,True
Toronto Blue Jays,Athletics,Athletics,False
Cleveland Guardians,Los Angeles Angels,Los Angeles Angels,False
New York Mets,Colorado Rockies,New York Mets,True
Miami Marlins,San Francisco Giants,San Francisco Giants,False
Atlanta Braves,Boston Red Sox,Atlanta Braves,True
Texas Rangers,St. Louis Cardinals,Texas Rangers,True
Kansas City Royals,Detroit Tigers,Kansas City Royals,True
Houston Astros,Tampa Bay Rays,Tampa Bay Rays,False
Arizona Diamondbacks,Washington Nationals,Washington Nationals,False
San Diego Padres,Pittsburgh Pirates,San Diego Padres,True
Seattle Mariners,Minnesota Twins,Seattle Mariners,True
Los Angeles Dodgers,New York Yankees,Los Angeles Dodgers,True
Chicago Cubs,Cincinnati Reds,Chicago Cubs,True
Toronto Blue Jays,Athletics,Athletics,False
Texas Rangers,St. Louis Cardinals,Texas Rangers,True
Baltimore Orioles,Chicago White Sox,Baltimore Orioles,True
Philadelphia Phillies,Milwaukee Brewers,Philadelphia Phillies,True
Cleveland Guardians,Los Angeles Angels,Cleveland Guardians,True
Kansas City Royals,Detroit Tigers,Detroit Tigers,False
New York Mets,Colorado Rockies,New York Mets,True
Houston Astros,Tampa Bay Rays,Tampa Bay Rays,False
Atlanta Braves,Boston Red Sox,Boston Red Sox,False
Miami Marlins,San Francisco Giants,San Francisco Giants,False
Seattle Mariners,Minnesota Twins,Seattle Mariners,True
Los Angeles Dodgers,New York Yankees,Los Angeles Dodgers,True
San Diego Padres,Pittsburgh Pirates,San Diego Padres,True
Arizona Diamondbacks,Washington Nationals,Arizona Diamondbacks,True
Texas Rangers,St. Louis Cardinals,St. Louis Cardinals,False
Atlanta Braves,Boston Red Sox,Boston Red Sox,False
Baltimore Orioles,Chicago White Sox,Baltimore Orioles,True
Philadelphia Phillies,Milwaukee Brewers,Milwaukee Brewers,False
Toronto Blue Jays,Athletics,Toronto Blue Jays,True
Cleveland Guardians,Los Angeles Angels,Cleveland Guardians,True
New York Mets,Colorado Rockies,New York Mets,True
Miami Marlins,San Francisco Giants,San Francisco Giants,False
Kansas City Royals,Detroit Tigers,Detroit Tigers,False
Houston Astros,Tampa Bay Rays,Tampa Bay Rays,False
Chicago Cubs,Cincinnati Reds,Cincinnati Reds,False
Arizona Diamondbacks,Washington Nationals,Arizona Diamondbacks,True
Seattle Mariners,Minnesota Twins,Seattle Mariners,True
San Diego Padres,Pittsburgh Pirates,San Diego Padres,True
Los Angeles Dodgers,New York Yankees,Los Angeles Dodgers,True
Miami Marlins,Colorado Rockies,Colorado Rockies,False
Boston Red Sox,Los Angeles Angels,Boston Red Sox,True
Cincinnati Reds,Milwaukee Brewers,Cincinnati Reds,True
Chicago White Sox,Detroit Tigers,Detroit Tigers,False
San Francisco Giants,San Diego Padres,San Francisco Giants,True
Athletics,Minnesota Twins,Minnesota Twins,False
Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,True
Pittsburgh Pirates,Houston Astros,Pittsburgh Pirates,True
Miami Marlins,Colorado Rockies,Miami Marlins,True
Washington Nationals,Chicago Cubs,Chicago Cubs,False
New York Yankees,Cleveland Guardians,New York Yankees,True
Toronto Blue Jays,Philadelphia Phillies,Philadelphia Phillies,False
Boston Red Sox,Los Angeles Angels,Boston Red Sox,True
Cincinnati Reds,Milwaukee Brewers,Milwaukee Brewers,False
Atlanta Braves,Arizona Diamondbacks,Atlanta Braves,True
Tampa Bay Rays,Texas Rangers,Tampa Bay Rays,True
Chicago White Sox,Detroit Tigers,Detroit Tigers,False
St. Louis Cardinals,Kansas City Royals,Kansas City Royals,False
Seattle Mariners,Baltimore Orioles,Seattle Mariners,True
San Francisco Giants,San Diego Padres,San Diego Padres,False
Athletics,Minnesota Twins,Minnesota Twins,False
Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,True
Miami Marlins,Colorado Rockies,Miami Marlins,True
Cincinnati Reds,Milwaukee Brewers,Cincinnati Reds,True
Boston Red Sox,Los Angeles Angels,Los Angeles Angels,False
Pittsburgh Pirates,Houston Astros,Houston Astros,False
Washington Nationals,Chicago Cubs,Washington Nationals,True
New York Yankees,Cleveland Guardians,New York Yankees,True
Toronto Blue Jays,Philadelphia Phillies,Toronto Blue Jays,True
Atlanta Braves,Arizona Diamondbacks,Arizona Diamondbacks,False
Tampa Bay Rays,Texas Rangers,Tampa Bay Rays,True
Chicago White Sox,Detroit Tigers,Detroit Tigers,False
Seattle Mariners,Baltimore Orioles,Seattle Mariners,True
San Francisco Giants,San Diego Padres,San Diego Padres,False
Athletics,Minnesota Twins,Athletics,True
Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,True
St. Louis Cardinals,Kansas City Royals,St. Louis Cardinals,True
Atlanta Braves,Arizona Diamondbacks,Arizona Diamondbacks,False
St. Louis Cardinals,Kansas City Royals,Kansas City Royals,False
St. Louis Cardinals,Kansas City Royals,Kansas City Royals,False
Chicago White Sox,Detroit Tigers,Detroit Tigers,False
Toronto Blue Jays,Philadelphia Phillies,Philadelphia Phillies,False
Athletics,Minnesota Twins,Minnesota Twins,False
Seattle Mariners,Baltimore Orioles,Seattle Mariners,True
San Francisco Giants,San Diego Padres,San Diego Padres,False
Los Angeles Dodgers,New York Mets,New York Mets,False
Pittsburgh Pirates,Houston Astros,Pittsburgh Pirates,True
Washington Nationals,Chicago Cubs,Chicago Cubs,False
