Team A,Team B,Winner
Seattle Mariners,Toronto Blue Jays,Seattle Mariners
Seattle Mariners,Miami Marlins,Seattle Mariners
Seattle Mariners,Colorado Rockies,Seattle Mariners
Seattle Mariners,Baltimore Orioles,Seattle Mariners
Seattle Mariners,Kansas City Royals,Seattle Mariners
Seattle Mariners,Miami Marlins,Seattle Mariners
Seattle Mariners,Philadelphia Phillies,Seattle Mariners
Seattle Mariners,New York Yankees,Seattle Mariners
Seattle Mariners,Los Angeles Angels,Seattle Mariners
Seattle Mariners,Philadelphia Phillies,Seattle Mariners
Seattle Mariners,Chicago White Sox,Seattle Mariners
Seattle Mariners,Washington Nationals,Seattle Mariners
Seattle Mariners,Arizona Diamondbacks,Seattle Mariners
Seattle Mariners,Boston Red Sox,Seattle Mariners
Seattle Mariners,Washington Nationals,Seattle Mariners
Seattle Mariners,Minnesota Twins,Seattle Mariners
Seattle Mariners,Pittsburgh Pirates,Seattle Mariners
Seattle Mariners,Chicago White Sox,Seattle Mariners
Seattle Mariners,Los Angeles Angels,Seattle Mariners
Seattle Mariners,Chicago Cubs,Chicago Cubs
Seattle Mariners,Pittsburgh Pirates,Pittsburgh Pirates
Seattle Mariners,New York Mets,New York Mets
Seattle Mariners,Texas Rangers,Texas Rangers
Seattle Mariners,Washington Nationals,Washington Nationals
Seattle Mariners,Milwaukee Brewers,Milwaukee Brewers
Seattle Mariners,Cleveland Guardians,Cleveland Guardians
Seattle Mariners,Texas Rangers,Texas Rangers
Seattle Mariners,Kansas City Royals,Kansas City Royals
Seattle Mariners,Detroit Tigers,Detroit Tigers
Seattle Mariners,Cleveland Guardians,Cleveland Guardians
Seattle Mariners,Milwaukee Brewers,Milwaukee Brewers
Seattle Mariners,Toronto Blue Jays,Toronto Blue Jays
Seattle Mariners,Chicago White Sox,Chicago White Sox
Seattle Mariners,Boston Red Sox,Boston Red Sox
Seattle Mariners,Chicago White Sox,Chicago White Sox
Seattle Mariners,Milwaukee Brewers,Milwaukee Brewers
Seattle Mariners,New York Mets,New York Mets
Seattle Mariners,Baltimore Orioles,Baltimore Orioles
Seattle Mariners,Miami Marlins,Miami Marlins
Houston Astros,Atlanta Braves,Houston Astros
Houston Astros,Baltimore Orioles,Houston Astros
Houston Astros,Pittsburgh Pirates,Houston Astros
Houston Astros,Chicago Cubs,Houston Astros
Houston Astros,Kansas City Royals,Houston Astros
Houston Astros,Cincinnati Reds,Houston Astros
Houston Astros,New York Mets,Houston Astros
Houston Astros,Texas Rangers,Houston Astros
Houston Astros,San Diego Padres,Houston Astros
Houston Astros,Miami Marlins,Houston Astros
Houston Astros,Milwaukee Brewers,Houston Astros
Houston Astros,Los Angeles Dodgers,Houston Astros
Houston Astros,Chicago Cubs,Houston Astros
Houston Astros,Milwaukee Brewers,Houston Astros
Houston Astros,Baltimore Orioles,Houston Astros
Houston Astros,St. Louis Cardinals,Houston Astros
Houston Astros,Kansas City Royals,Houston Astros
Houston Astros,Kansas City Royals,Houston Astros
Houston Astros,Kansas City Royals,Houston Astros
Houston Astros,Atlanta Braves,Houston Astros
Houston Astros,Cincinnati Reds,Houston Astros
Houston Astros,San Diego Padres,Houston Astros
Houston Astros,St. Louis Cardinals,Houston Astros
Houston Astros,Chicago Cubs,Houston Astros
Houston Astros,Toronto Blue Jays,Houston Astros
Houston Astros,Minnesota Twins,Minnesota Twins
Houston Astros,Chicago Cubs,Chicago Cubs
Houston Astros,Detroit Tigers,Detroit Tigers
Houston Astros,Chicago White Sox,Chicago White Sox
Houston Astros,Detroit Tigers,Detroit Tigers
Houston Astros,Cincinnati Reds,Cincinnati Reds
Houston Astros,St. Louis Cardinals,St. Louis Cardinals
Houston Astros,Athletics,Athletics
Houston Astros,Colorado Rockies,Colorado Rockies
Houston Astros,Tampa Bay Rays,Tampa Bay Rays
Houston Astros,Kansas City Royals,Kansas City Royals
Houston Astros,Atlanta Braves,Atlanta Braves
Houston Astros,Athletics,Athletics
Houston Astros,Washington Nationals,Washington Nationals
Houston Astros,Baltimore Orioles,Baltimore Orioles
Houston Astros,Los Angeles Angels,Los Angeles Angels
Houston Astros,Chicago Cubs,Chicago Cubs
Houston Astros,Los Angeles Angels,Los Angeles Angels
Houston Astros,Texas Rangers,Texas Rangers
Houston Astros,New York Mets,New York Mets
Houston Astros,New York Mets,New York Mets
Houston Astros,Chicago Cubs,Chicago Cubs
Houston Astros,Minnesota Twins,Minnesota Twins
Houston Astros,Toronto Blue Jays,Toronto Blue Jays
Texas Rangers,Philadelphia Phillies,Texas Rangers
Texas Rangers,Los Angeles Dodgers,Texas Rangers
Texas Rangers,Athletics,Texas Rangers
Texas Rangers,Detroit Tigers,Texas Rangers
Texas Rangers,Baltimore Orioles,Texas Rangers
Texas Rangers,Minnesota Twins,Texas Rangers
Texas Rangers,Boston Red Sox,Texas Rangers
Texas Rangers,Milwaukee Brewers,Texas Rangers
Texas Rangers,St. Louis Cardinals,Texas Rangers
Texas Rangers,Pittsburgh Pirates,Texas Rangers
Texas Rangers,San Diego Padres,Texas Rangers
Texas Rangers,Philadelphia Phillies,Texas Rangers
Texas Rangers,Los Angeles Angels,Texas Rangers
Texas Rangers,Chicago White Sox,Texas Rangers
Texas Rangers,Los Angeles Dodgers,Texas Rangers
Texas Rangers,St. Louis Cardinals,Texas Rangers
Texas Rangers,Athletics,Texas Rangers
Texas Rangers,Philadelphia Phillies,Texas Rangers
Texas Rangers,Kansas City Royals,Texas Rangers
Texas Rangers,Athletics,Texas Rangers
Texas Rangers,Tampa Bay Rays,Texas Rangers
Texas Rangers,Chicago White Sox,Texas Rangers
Texas Rangers,Los Angeles Dodgers,Texas Rangers
Texas Rangers,New York Mets,Texas Rangers
Texas Rangers,Chicago White Sox,Texas Rangers
Texas Rangers,Washington Nationals,Washington Nationals
Texas Rangers,Kansas City Royals,Kansas City Royals
Texas Rangers,New York Yankees,New York Yankees
Texas Rangers,Seattle Mariners,Seattle Mariners
Texas Rangers,Minnesota Twins,Minnesota Twins
Texas Rangers,Kansas City Royals,Kansas City Royals
Texas Rangers,New York Yankees,New York Yankees
Texas Rangers,Cincinnati Reds,Cincinnati Reds
Texas Rangers,Houston Astros,Houston Astros
Texas Rangers,Athletics,Athletics
Texas Rangers,Toronto Blue Jays,Toronto Blue Jays
Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks
Texas Rangers,Baltimore Orioles,Baltimore Orioles
Texas Rangers,Los Angeles Dodgers,Los Angeles Dodgers
Texas Rangers,Los Angeles Angels,Los Angeles Angels
Texas Rangers,New York Mets,New York Mets
Texas Rangers,Athletics,Athletics
Texas Rangers,Atlanta Braves,Atlanta Braves
Texas Rangers,St. Louis Cardinals,St. Louis Cardinals
Texas Rangers,Boston Red Sox,Boston Red Sox
Texas Rangers,Milwaukee Brewers,Milwaukee Brewers
Texas Rangers,Chicago Cubs,Chicago Cubs
Texas Rangers,Minnesota Twins,Minnesota Twins
Texas Rangers,Los Angeles Dodgers,Los Angeles Dodgers
Texas Rangers,Pittsburgh Pirates,Pittsburgh Pirates
Los Angeles Angels,Minnesota Twins,Los Angeles Angels
Los Angeles Angels,Athletics,Los Angeles Angels
Los Angeles Angels,Athletics,Los Angeles Angels
Los Angeles Angels,Athletics,Los Angeles Angels
Los Angeles Angels,Washington Nationals,Los Angeles Angels
Los Angeles Angels,Seattle Mariners,Los Angeles Angels
Los Angeles Angels,Miami Marlins,Los Angeles Angels
Los Angeles Angels,Cincinnati Reds,Los Angeles Angels
Los Angeles Angels,Chicago Cubs,Los Angeles Angels
Los Angeles Angels,New York Mets,Los Angeles Angels
Los Angeles Angels,Seattle Mariners,Los Angeles Angels
Los Angeles Angels,St. Louis Cardinals,Los Angeles Angels
Los Angeles Angels,Minnesota Twins,Los Angeles Angels
Los Angeles Angels,San Diego Padres,Los Angeles Angels
Los Angeles Angels,Colorado Rockies,Los Angeles Angels
Los Angeles Angels,San Francisco Giants,Los Angeles Angels
Los Angeles Angels,Miami Marlins,Los Angeles Angels
Los Angeles Angels,Tampa Bay Rays,Los Angeles Angels
Los Angeles Angels,Cincinnati Reds,Los Angeles Angels
Los Angeles Angels,Seattle Mariners,Los Angeles Angels
Los Angeles Angels,Detroit Tigers,Los Angeles Angels
Los Angeles Angels,Arizona Diamondbacks,Los Angeles Angels
Los Angeles Angels,St. Louis Cardinals,Los Angeles Angels
Los Angeles Angels,Philadelphia Phillies,Philadelphia Phillies
Los Angeles Angels,Washington Nationals,Washington Nationals
Los Angeles Angels,Minnesota Twins,Minnesota Twins
Los Angeles Angels,Cleveland Guardians,Cleveland Guardians
Los Angeles Angels,New York Mets,New York Mets
Los Angeles Angels,Miami Marlins,Miami Marlins
Los Angeles Angels,Kansas City Royals,Kansas City Royals
Los Angeles Angels,Arizona Diamondbacks,Arizona Diamondbacks
Los Angeles Angels,Colorado Rockies,Colorado Rockies
Los Angeles Angels,Cincinnati Reds,Cincinnati Reds
Los Angeles Angels,Houston Astros,Houston Astros
Los Angeles Angels,Seattle Mariners,Seattle Mariners
Los Angeles Angels,Baltimore Orioles,Baltimore Orioles
Los Angeles Angels,Chicago Cubs,Chicago Cubs
Los Angeles Angels,New York Yankees,New York Yankees
Los Angeles Angels,Arizona Diamondbacks,Arizona Diamondbacks
Los Angeles Angels,Colorado Rockies,Colorado Rockies
Los Angeles Angels,San Francisco Giants,San Francisco Giants
Los Angeles Angels,Tampa Bay Rays,Tampa Bay Rays
Los Angeles Angels,Chicago White Sox,Chicago White Sox
Los Angeles Angels,Milwaukee Brewers,Milwaukee Brewers
Los Angeles Angels,Chicago White Sox,Chicago White Sox
Los Angeles Angels,Tampa Bay Rays,Tampa Bay Rays
Los Angeles Angels,Chicago Cubs,Chicago Cubs
Los Angeles Angels,Houston Astros,Houston Astros
Athletics,Texas Rangers,Athletics
Athletics,Washington Nationals,Athletics
Athletics,New York Yankees,Athletics
Athletics,Cincinnati Reds,Athletics
Athletics,Chicago Cubs,Athletics
Athletics,Tampa Bay Rays,Athletics
Athletics,Cleveland Guardians,Athletics
Athletics,San Francisco Giants,Athletics
Athletics,Miami Marlins,Athletics
Athletics,Detroit Tigers,Athletics
Athletics,Los Angeles Dodgers,Athletics
Athletics,Pittsburgh Pirates,Athletics
Athletics,Houston Astros,Athletics
Athletics,Tampa Bay Rays,Athletics
Athletics,Los Angeles Dodgers,Athletics
Athletics,Cleveland Guardians,Athletics
Athletics,Cincinnati Reds,Athletics
Athletics,New York Yankees,Athletics
Athletics,Washington Nationals,Athletics
Athletics,Chicago White Sox,Athletics
Athletics,New York Yankees,Athletics
Athletics,New York Mets,Athletics
Athletics,New York Yankees,New York Yankees
Athletics,Miami Marlins,Miami Marlins
Athletics,Toronto Blue Jays,Toronto Blue Jays
Athletics,Chicago Cubs,Chicago Cubs
Athletics,Baltimore Orioles,Baltimore Orioles
Athletics,Minnesota Twins,Minnesota Twins
Athletics,New York Mets,New York Mets
Athletics,New York Mets,New York Mets
Athletics,Philadelphia Phillies,Philadelphia Phillies
Athletics,Tampa Bay Rays,Tampa Bay Rays
Athletics,Chicago Cubs,Chicago Cubs
Athletics,Chicago Cubs,Chicago Cubs
Athletics,Arizona Diamondbacks,Arizona Diamondbacks
Athletics,Los Angeles Angels,Los Angeles Angels
Athletics,Arizona Diamondbacks,Arizona Diamondbacks
Athletics,Texas Rangers,Texas Rangers
Athletics,Detroit Tigers,Detroit Tigers
Athletics,New York Mets,New York Mets
Athletics,Tampa Bay Rays,Tampa Bay Rays
Athletics,Colorado Rockies,Colorado Rockies
Athletics,Kansas City Royals,Kansas City Royals
Athletics,New York Mets,New York Mets
Athletics,San Francisco Giants,San Francisco Giants
Athletics,Los Angeles Dodgers,Los Angeles Dodgers
Athletics,Kansas City Royals,Kansas City Royals
Athletics,Boston Red Sox,Boston Red Sox
Athletics,San Francisco Giants,San Francisco Giants
Athletics,Tampa Bay Rays,Tampa Bay Rays
Philadelphia Phillies,Miami Marlins,Philadelphia Phillies
Philadelphia Phillies,New York Yankees,Philadelphia Phillies
Philadelphia Phillies,Cleveland Guardians,Philadelphia Phillies
Philadelphia Phillies,Chicago White Sox,Philadelphia Phillies
Philadelphia Phillies,Houston Astros,Philadelphia Phillies
Philadelphia Phillies,Seattle Mariners,Philadelphia Phillies
Philadelphia Phillies,Athletics,Philadelphia Phillies
Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies
Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies
Philadelphia Phillies,San Diego Padres,Philadelphia Phillies
Philadelphia Phillies,Cleveland Guardians,Philadelphia Phillies
Philadelphia Phillies,New York Mets,Philadelphia Phillies
Philadelphia Phillies,Toronto Blue Jays,Philadelphia Phillies
Philadelphia Phillies,Texas Rangers,Philadelphia Phillies
Philadelphia Phillies,Kansas City Royals,Philadelphia Phillies
Philadelphia Phillies,New York Mets,Philadelphia Phillies
Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies
Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies
Philadelphia Phillies,Pittsburgh Pirates,Philadelphia Phillies
Philadelphia Phillies,Toronto Blue Jays,Philadelphia Phillies
Philadelphia Phillies,Washington Nationals,Philadelphia Phillies
Philadelphia Phillies,Atlanta Braves,Philadelphia Phillies
Philadelphia Phillies,Pittsburgh Pirates,Philadelphia Phillies
Philadelphia Phillies,Baltimore Orioles,Philadelphia Phillies
Philadelphia Phillies,Arizona Diamondbacks,Philadelphia Phillies
Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies
Philadelphia Phillies,New York Mets,Philadelphia Phillies
Philadelphia Phillies,Miami Marlins,Philadelphia Phillies
Philadelphia Phillies,Milwaukee Brewers,Philadelphia Phillies
Philadelphia Phillies,Texas Rangers,Philadelphia Phillies
Philadelphia Phillies,Washington Nationals,Philadelphia Phillies
Philadelphia Phillies,Milwaukee Brewers,Milwaukee Brewers
Philadelphia Phillies,Pittsburgh Pirates,Pittsburgh Pirates
Philadelphia Phillies,St. Louis Cardinals,St. Louis Cardinals
Philadelphia Phillies,Colorado Rockies,Colorado Rockies
Philadelphia Phillies,San Francisco Giants,San Francisco Giants
Philadelphia Phillies,Cleveland Guardians,Cleveland Guardians
Philadelphia Phillies,Texas Rangers,Texas Rangers
Philadelphia Phillies,Atlanta Braves,Atlanta Braves
Philadelphia Phillies,Tampa Bay Rays,Tampa Bay Rays
Philadelphia Phillies,Arizona Diamondbacks,Arizona Diamondbacks
Philadelphia Phillies,Chicago White Sox,Chicago White Sox
Philadelphia Phillies,St. Louis Cardinals,St. Louis Cardinals
Philadelphia Phillies,St. Louis Cardinals,St. Louis Cardinals
Philadelphia Phillies,Arizona Diamondbacks,Arizona Diamondbacks
Philadelphia Phillies,Baltimore Orioles,Baltimore Orioles
Philadelphia Phillies,Baltimore Orioles,Baltimore Orioles
Philadelphia Phillies,Detroit Tigers,Detroit Tigers
Philadelphia Phillies,Arizona Diamondbacks,Arizona Diamondbacks
New York Mets,Baltimore Orioles,New York Mets
New York Mets,Houston Astros,New York Mets
New York Mets,Chicago Cubs,New York Mets
New York Mets,Arizona Diamondbacks,New York Mets
New York Mets,Philadelphia Phillies,New York Mets
New York Mets,Milwaukee Brewers,New York Mets
New York Mets,Toronto Blue Jays,New York Mets
New York Mets,New York Yankees,New York Mets
New York Mets,Colorado Rockies,New York Mets
New York Mets,Chicago Cubs,New York Mets
New York Mets,Boston Red Sox,New York Mets
New York Mets,Colorado Rockies,New York Mets
New York Mets,Pittsburgh Pirates,New York Mets
New York Mets,Arizona Diamondbacks,New York Mets
New York Mets,St. Louis Cardinals,New York Mets
New York Mets,Baltimore Orioles,New York Mets
New York Mets,Athletics,New York Mets
New York Mets,Boston Red Sox,New York Mets
New York Mets,Philadelphia Phillies,New York Mets
New York Mets,Toronto Blue Jays,New York Mets
New York Mets,St. Louis Cardinals,New York Mets
New York Mets,Seattle Mariners,New York Mets
New York Mets,St. Louis Cardinals,New York Mets
New York Mets,Colorado Rockies,New York Mets
New York Mets,Cincinnati Reds,New York Mets
New York Mets,Minnesota Twins,New York Mets
New York Mets,Pittsburgh Pirates,New York Mets
New York Mets,Tampa Bay Rays,New York Mets
New York Mets,Cincinnati Reds,New York Mets
New York Mets,Los Angeles Dodgers,New York Mets
New York Mets,Cincinnati Reds,Cincinnati Reds
New York Mets,Seattle Mariners,Seattle Mariners
New York Mets,Tampa Bay Rays,Tampa Bay Rays
New York Mets,Cincinnati Reds,Cincinnati Reds
New York Mets,New York Yankees,New York Yankees
New York Mets,Los Angeles Angels,Los Angeles Angels
New York Mets,Minnesota Twins,Minnesota Twins
New York Mets,Los Angeles Angels,Los Angeles Angels
New York Mets,Baltimore Orioles,Baltimore Orioles
New York Mets,St. Louis Cardinals,St. Louis Cardinals
New York Mets,Los Angeles Dodgers,Los Angeles Dodgers
New York Mets,Seattle Mariners,Seattle Mariners
New York Mets,Los Angeles Dodgers,Los Angeles Dodgers
New York Mets,Toronto Blue Jays,Toronto Blue Jays
New York Mets,Philadelphia Phillies,Philadelphia Phillies
New York Mets,Pittsburgh Pirates,Pittsburgh Pirates
New York Mets,San Francisco Giants,San Francisco Giants
New York Mets,Boston Red Sox,Boston Red Sox
New York Mets,Miami Marlins,Miami Marlins
New York Mets,Washington Nationals,Washington Nationals
Atlanta Braves,Boston Red Sox,Atlanta Braves
Atlanta Braves,Philadelphia Phillies,Atlanta Braves
Atlanta Braves,Miami Marlins,Atlanta Braves
Atlanta Braves,San Francisco Giants,Atlanta Braves
Atlanta Braves,Toronto Blue Jays,Atlanta Braves
Atlanta Braves,Milwaukee Brewers,Atlanta Braves
Atlanta Braves,Athletics,Atlanta Braves
Atlanta Braves,New York Mets,Atlanta Braves
Atlanta Braves,Tampa Bay Rays,Atlanta Braves
Atlanta Braves,Texas Rangers,Atlanta Braves
Atlanta Braves,Chicago White Sox,Atlanta Braves
Atlanta Braves,Cincinnati Reds,Atlanta Braves
Atlanta Braves,Houston Astros,Atlanta Braves
Atlanta Braves,Chicago Cubs,Atlanta Braves
Atlanta Braves,Pittsburgh Pirates,Atlanta Braves
Atlanta Braves,Houston Astros,Atlanta Braves
Atlanta Braves,Texas Rangers,Atlanta Braves
Atlanta Braves,Los Angeles Angels,Atlanta Braves
Atlanta Braves,San Francisco Giants,Atlanta Braves
Atlanta Braves,San Diego Padres,Atlanta Braves
Atlanta Braves,Toronto Blue Jays,Atlanta Braves
Atlanta Braves,Colorado Rockies,Atlanta Braves
Atlanta Braves,Miami Marlins,Atlanta Braves
Atlanta Braves,Kansas City Royals,Atlanta Braves
Atlanta Braves,Baltimore Orioles,Baltimore Orioles
Atlanta Braves,New York Mets,New York Mets
Atlanta Braves,Texas Rangers,Texas Rangers
Atlanta Braves,Colorado Rockies,Colorado Rockies
Atlanta Braves,Colorado Rockies,Colorado Rockies
Atlanta Braves,Houston Astros,Houston Astros
Atlanta Braves,Cleveland Guardians,Cleveland Guardians
Atlanta Braves,New York Yankees,New York Yankees
Atlanta Braves,Texas Rangers,Texas Rangers
Atlanta Braves,San Francisco Giants,San Francisco Giants
Atlanta Braves,Pittsburgh Pirates,Pittsburgh Pirates
Atlanta Braves,Boston Red Sox,Boston Red Sox
Atlanta Braves,Milwaukee Brewers,Milwaukee Brewers
Atlanta Braves,Los Angeles Dodgers,Los Angeles Dodgers
Atlanta Braves,Tampa Bay Rays,Tampa Bay Rays
Atlanta Braves,Baltimore Orioles,Baltimore Orioles
Atlanta Braves,Houston Astros,Houston Astros
Atlanta Braves,Athletics,Athletics
Atlanta Braves,Arizona Diamondbacks,Arizona Diamondbacks
Atlanta Braves,Miami Marlins,Miami Marlins
Atlanta Braves,Baltimore Orioles,Baltimore Orioles
Atlanta Braves,Detroit Tigers,Detroit Tigers
Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies
Atlanta Braves,Milwaukee Brewers,Milwaukee Brewers
Washington Nationals,Houston Astros,Washington Nationals
Washington Nationals,Milwaukee Brewers,Washington Nationals
Washington Nationals,Chicago Cubs,Washington Nationals
Washington Nationals,Tampa Bay Rays,Washington Nationals
Washington Nationals,Chicago White Sox,Washington Nationals
Washington Nationals,Toronto Blue Jays,Washington Nationals
Washington Nationals,Boston Red Sox,Washington Nationals
Washington Nationals,Cleveland Guardians,Washington Nationals
Washington Nationals,Colorado Rockies,Washington Nationals
Washington Nationals,Cincinnati Reds,Washington Nationals
Washington Nationals,Boston Red Sox,Washington Nationals
Washington Nationals,Milwaukee Brewers,Washington Nationals
Washington Nationals,Kansas City Royals,Washington Nationals
Washington Nationals,Colorado Rockies,Washington Nationals
Washington Nationals,Athletics,Washington Nationals
Washington Nationals,Colorado Rockies,Washington Nationals
Washington Nationals,Atlanta Braves,Washington Nationals
Washington Nationals,Miami Marlins,Washington Nationals
Washington Nationals,San Diego Padres,Washington Nationals
Washington Nationals,Arizona Diamondbacks,Washington Nationals
Washington Nationals,Tampa Bay Rays,Washington Nationals
Washington Nationals,Philadelphia Phillies,Washington Nationals
Washington Nationals,Boston Red Sox,Boston Red Sox
Washington Nationals,San Francisco Giants,San Francisco Giants
Washington Nationals,Minnesota Twins,Minnesota Twins
Washington Nationals,Detroit Tigers,Detroit Tigers
Washington Nationals,New York Yankees,New York Yankees
Washington Nationals,Houston Astros,Houston Astros
Washington Nationals,San Diego Padres,San Diego Padres
Washington Nationals,Detroit Tigers,Detroit Tigers
Washington Nationals,Cincinnati Reds,Cincinnati Reds
Washington Nationals,Tampa Bay Rays,Tampa Bay Rays
Washington Nationals,New York Yankees,New York Yankees
Washington Nationals,Atlanta Braves,Atlanta Braves
Washington Nationals,Baltimore Orioles,Baltimore Orioles
Washington Nationals,Arizona Diamondbacks,Arizona Diamondbacks
Washington Nationals,Tampa Bay Rays,Tampa Bay Rays
Washington Nationals,Toronto Blue Jays,Toronto Blue Jays
Washington Nationals,Milwaukee Brewers,Milwaukee Brewers
Washington Nationals,Seattle Mariners,Seattle Mariners
Washington Nationals,Boston Red Sox,Boston Red Sox
Washington Nationals,Los Angeles Dodgers,Los Angeles Dodgers
Washington Nationals,Philadelphia Phillies,Philadelphia Phillies
Washington Nationals,Los Angeles Dodgers,Los Angeles Dodgers
Washington Nationals,Athletics,Athletics
Washington Nationals,Los Angeles Angels,Los Angeles Angels
Washington Nationals,Toronto Blue Jays,Toronto Blue Jays
Washington Nationals,Milwaukee Brewers,Milwaukee Brewers
Washington Nationals,Los Angeles Angels,Los Angeles Angels
Miami Marlins,Washington Nationals,Miami Marlins
Miami Marlins,Seattle Mariners,Miami Marlins
Miami Marlins,Minnesota Twins,Miami Marlins
Miami Marlins,New York Mets,Miami Marlins
Miami Marlins,Tampa Bay Rays,Miami Marlins
Miami Marlins,Arizona Diamondbacks,Miami Marlins
Miami Marlins,Athletics,Miami Marlins
Miami Marlins,St. Louis Cardinals,Miami Marlins
Miami Marlins,Washington Nationals,Miami Marlins
Miami Marlins,Arizona Diamondbacks,Miami Marlins
Miami Marlins,Boston Red Sox,Miami Marlins
Miami Marlins,St. Louis Cardinals,Miami Marlins
Miami Marlins,Cincinnati Reds,Miami Marlins
Miami Marlins,Chicago White Sox,Miami Marlins
Miami Marlins,Houston Astros,Miami Marlins
Miami Marlins,San Francisco Giants,Miami Marlins
Miami Marlins,Toronto Blue Jays,Miami Marlins
Miami Marlins,Chicago White Sox,Miami Marlins
Miami Marlins,Kansas City Royals,Miami Marlins
Miami Marlins,Tampa Bay Rays,Tampa Bay Rays
Miami Marlins,St. Louis Cardinals,St. Louis Cardinals
Miami Marlins,Milwaukee Brewers,Milwaukee Brewers
Miami Marlins,St. Louis Cardinals,St. Louis Cardinals
Miami Marlins,Cincinnati Reds,Cincinnati Reds
Miami Marlins,Los Angeles Angels,Los Angeles Angels
Miami Marlins,Cincinnati Reds,Cincinnati Reds
Miami Marlins,San Diego Padres,San Diego Padres
Miami Marlins,San Francisco Giants,San Francisco Giants
Miami Marlins,Chicago Cubs,Chicago Cubs
Miami Marlins,Toronto Blue Jays,Toronto Blue Jays
Miami Marlins,Atlanta Braves,Atlanta Braves
Miami Marlins,Arizona Diamondbacks,Arizona Diamondbacks
Miami Marlins,Cleveland Guardians,Cleveland Guardians
Miami Marlins,Baltimore Orioles,Baltimore Orioles
Miami Marlins,Seattle Mariners,Seattle Mariners
Miami Marlins,Baltimore Orioles,Baltimore Orioles
Miami Marlins,Toronto Blue Jays,Toronto Blue Jays
Miami Marlins,Toronto Blue Jays,Toronto Blue Jays
Miami Marlins,Colorado Rockies,Colorado Rockies
Miami Marlins,New York Mets,New York Mets
Miami Marlins,Chicago Cubs,Chicago Cubs
Miami Marlins,Los Angeles Dodgers,Los Angeles Dodgers
Miami Marlins,Athletics,Athletics
Miami Marlins,Baltimore Orioles,Baltimore Orioles
Miami Marlins,Seattle Mariners,Seattle Mariners
Miami Marlins,Tampa Bay Rays,Tampa Bay Rays
Miami Marlins,New York Yankees,New York Yankees
Miami Marlins,Kansas City Royals,Kansas City Royals
Chicago Cubs,Seattle Mariners,Chicago Cubs
Chicago Cubs,Los Angeles Dodgers,Chicago Cubs
Chicago Cubs,Atlanta Braves,Chicago Cubs
Chicago Cubs,Tampa Bay Rays,Chicago Cubs
Chicago Cubs,New York Mets,Chicago Cubs
Chicago Cubs,Miami Marlins,Chicago Cubs
Chicago Cubs,Cincinnati Reds,Chicago Cubs
Chicago Cubs,Chicago White Sox,Chicago Cubs
Chicago Cubs,Chicago White Sox,Chicago Cubs
Chicago Cubs,Atlanta Braves,Chicago Cubs
Chicago Cubs,Tampa Bay Rays,Chicago Cubs
Chicago Cubs,San Francisco Giants,Chicago Cubs
Chicago Cubs,Cleveland Guardians,Chicago Cubs
Chicago Cubs,Texas Rangers,Chicago Cubs
Chicago Cubs,Los Angeles Dodgers,Chicago Cubs
Chicago Cubs,Atlanta Braves,Chicago Cubs
Chicago Cubs,Milwaukee Brewers,Chicago Cubs
Chicago Cubs,Baltimore Orioles,Chicago Cubs
Chicago Cubs,Pittsburgh Pirates,Chicago Cubs
Chicago Cubs,New York Yankees,Chicago Cubs
Chicago Cubs,Seattle Mariners,Chicago Cubs
Chicago Cubs,St. Louis Cardinals,Chicago Cubs
Chicago Cubs,New York Yankees,Chicago Cubs
Chicago Cubs,San Francisco Giants,Chicago Cubs
Chicago Cubs,Texas Rangers,Chicago Cubs
Chicago Cubs,Minnesota Twins,Chicago Cubs
Chicago Cubs,Tampa Bay Rays,Chicago Cubs
Chicago Cubs,Kansas City Royals,Chicago Cubs
Chicago Cubs,Los Angeles Angels,Chicago Cubs
Chicago Cubs,Boston Red Sox,Chicago Cubs
Chicago Cubs,Pittsburgh Pirates,Pittsburgh Pirates
Chicago Cubs,Los Angeles Angels,Los Angeles Angels
Chicago Cubs,Cleveland Guardians,Cleveland Guardians
Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers
Chicago Cubs,Toronto Blue Jays,Toronto Blue Jays
Chicago Cubs,St. Louis Cardinals,St. Louis Cardinals
Chicago Cubs,Athletics,Athletics
Chicago Cubs,Tampa Bay Rays,Tampa Bay Rays
Chicago Cubs,New York Yankees,New York Yankees
Chicago Cubs,Texas Rangers,Texas Rangers
Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers
Chicago Cubs,Kansas City Royals,Kansas City Royals
Chicago Cubs,Chicago White Sox,Chicago White Sox
Chicago Cubs,St. Louis Cardinals,St. Louis Cardinals
Chicago Cubs,Athletics,Athletics
Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers
Chicago Cubs,San Francisco Giants,San Francisco Giants
Chicago Cubs,Toronto Blue Jays,Toronto Blue Jays
Chicago Cubs,Chicago White Sox,Chicago White Sox
Chicago Cubs,Detroit Tigers,Detroit Tigers
St. Louis Cardinals,Houston Astros,St. Louis Cardinals
